time,volume,close,open,returnsOpenNextMktres10
2016-06-07 22:00:00+00:00,3403738,19.19,18.92,-0.055267225
2016-06-08 22:00:00+00:00,2661738,19.02,19.26,-0.039472229
2016-06-09 22:00:00+00:00,2685038,18.64,18.98,0.000317661
2016-06-10 22:00:00+00:00,4878577,18.75,18.34,-0.164531487
2016-06-13 22:00:00+00:00,4606249,18.92,18.51,-0.199936772
2016-06-14 22:00:00+00:00,3219377,18.62,18.92,-0.143151473
2016-06-15 22:00:00+00:00,4443133,19.14,18.86,-0.076942726
2016-06-16 22:00:00+00:00,4597988,18.65,19.2,-0.012084625
2016-06-17 22:00:00+00:00,4124606,18.98,18.65,-0.04749116
2016-06-20 22:00:00+00:00,3160955,18.84,19.1,-0.077957536
2016-06-21 22:00:00+00:00,2898156,19.01,19,-0.039559472
2016-06-22 22:00:00+00:00,3336798,19,19.09,-0.022227406
2016-06-23 22:00:00+00:00,3327180,19.33,19.1,0.033328055
2016-06-24 22:00:00+00:00,6070826,17.77,18.56,0.022004821
2016-06-27 22:00:00+00:00,4677120,16.8,17.5,0.002787983
2016-06-28 22:00:00+00:00,3022151,16.95,17.18,0.013816693
2016-06-29 22:00:00+00:00,2184981,17.48,17.15,0.0092612
2016-06-30 22:00:00+00:00,2304364,17.81,17.53,0.015089128
2016-07-01 22:00:00+00:00,1639489,18.15,17.85,0.051391228
2016-07-05 22:00:00+00:00,1688184,17.58,17.65,0.034792614
2016-07-06 22:00:00+00:00,2440113,18.09,17.54,0.01397215
2016-07-07 22:00:00+00:00,2224842,18.22,18.08,0.014756719
2016-07-08 22:00:00+00:00,3252727,19.09,18.45,0.000444848
2016-07-11 22:00:00+00:00,1453779,19.13,19.13,0.018788
2016-07-12 22:00:00+00:00,1646193,19.46,19.23,0.047472353
2016-07-13 22:00:00+00:00,1153277,19.16,19.52,0.06032093
2016-07-14 22:00:00+00:00,1421268,19.21,19.3,0.055542265
2016-07-15 22:00:00+00:00,1089505,19.18,19.29,0.065315908
2016-07-18 22:00:00+00:00,3058046,19.81,19.27,0.033096654
2016-07-19 22:00:00+00:00,1339259,19.74,19.87,-0.005303845
2016-07-20 22:00:00+00:00,1268470,19.96,19.8,0.019978773
2016-07-21 22:00:00+00:00,2089485,20.27,19.91,0.016596409
2016-07-22 22:00:00+00:00,1669553,20.12,20.09,0.035346029
2016-07-25 22:00:00+00:00,1702685,20.23,20.17,0.026788842
2016-07-26 22:00:00+00:00,2154168,20.8,20.33,-0.019035152
2016-07-27 22:00:00+00:00,2213969,20.69,20.87,0.028793188
2016-07-28 22:00:00+00:00,924297,20.45,20.68,0.035278402
2016-07-29 22:00:00+00:00,1358404,20.71,20.45,0.045968477
2016-08-01 22:00:00+00:00,1446546,20.71,20.76,0.066795682
2016-08-02 22:00:00+00:00,1507725,19.82,20.65,0.104544038
2016-08-03 22:00:00+00:00,1686873,20.11,19.52,0.081269242
2016-08-04 22:00:00+00:00,951233,20.25,20.15,0.072603036
2016-08-05 22:00:00+00:00,1731486,21.22,20.46,0.072314666
2016-08-08 22:00:00+00:00,1500358,21.34,21.03,0.049882282
2016-08-09 22:00:00+00:00,1812511,20.69,21.07,0.07716868
2016-08-10 22:00:00+00:00,1153477,20.71,20.69,0.046284388
2016-08-11 22:00:00+00:00,1845807,21.49,21.5,0.075070729
2016-08-12 22:00:00+00:00,2335077,21.9,21.47,0.056413447
2016-08-15 22:00:00+00:00,1406867,22.48,22,-0.112343919
2016-08-16 22:00:00+00:00,2012863,22.1,22.4,-0.153630343
2016-08-17 22:00:00+00:00,1731693,21.91,21.99,-0.149248166
2016-08-18 22:00:00+00:00,1564284,22.41,22.16,-0.178490571
2016-08-19 22:00:00+00:00,1764238,22.55,22.31,-0.235028224
2016-08-22 22:00:00+00:00,1526357,22.18,22.49,-0.203843856
2016-08-23 22:00:00+00:00,1714149,22.72,22.36,-0.200763931
2016-08-24 22:00:00+00:00,2019608,22.3,22.4,-0.18761785
2016-08-25 22:00:00+00:00,1437255,22.63,22.26,0.047893448
2016-08-26 22:00:00+00:00,2961983,22.62,22.72,-0.114598427
2016-08-29 22:00:00+00:00,5062593,22.95,22.62,0.10336989
2016-08-30 22:00:00+00:00,23020210,18.29,19.5,0.09075176
2016-08-31 22:00:00+00:00,7222775,17.74,18.11,0.032141128
2016-09-01 22:00:00+00:00,3675694,17.32,17.66,0.044843003
2016-09-02 22:00:00+00:00,3528317,17.02,17.32,0.021465882
2016-09-06 22:00:00+00:00,4018084,16.94,17.02,-0.041063285
2016-09-07 22:00:00+00:00,3378252,17.28,17.24,-0.039323238
2016-09-08 22:00:00+00:00,3330765,17.26,17.36,-0.012123431
2016-09-09 22:00:00+00:00,3586801,17.25,17.2,-0.011692613
2016-09-12 22:00:00+00:00,3213160,17.59,17.31,-0.077886179
2016-09-13 22:00:00+00:00,2629597,17.44,17.46,-0.067556555
2016-09-14 22:00:00+00:00,3652064,17.42,17.54,-0.08068114
2016-09-15 22:00:00+00:00,2112613,17.62,17.42,-0.093703347
2016-09-16 22:00:00+00:00,2259013,17.42,17.35,-0.085611951
2016-09-19 22:00:00+00:00,2505620,17.33,17.46,-0.088062187
2016-09-20 22:00:00+00:00,2821601,16.85,17.34,-0.054414899
2016-09-21 22:00:00+00:00,3279645,16.76,16.86,-0.042059863
2016-09-22 22:00:00+00:00,3218054,16.84,16.88,-0.041470418
2016-09-23 22:00:00+00:00,2355780,16.72,16.9,-0.026518374
2016-09-26 22:00:00+00:00,3023410,16.14,16.65,0.008299882
2016-09-27 22:00:00+00:00,2946510,16.24,16.16,-0.022294933
2016-09-28 22:00:00+00:00,3476752,15.9,16.06,-0.021124976
2016-09-29 22:00:00+00:00,2638059,15.54,15.78,0.000614731
2016-09-30 22:00:00+00:00,2340565,15.89,15.68,-0.050274002
2016-10-03 22:00:00+00:00,13191538,15.72,15.89,-0.030586824
2016-10-04 22:00:00+00:00,2380716,15.91,15.76,-0.043350187
2016-10-05 22:00:00+00:00,2695028,16.28,15.93,-0.053318993
2016-10-06 22:00:00+00:00,3197204,15.97,16.18,-0.066380167
2016-10-07 22:00:00+00:00,3688804,16.12,16.2,-0.036330336
2016-10-10 22:00:00+00:00,2232438,16.19,16.21,-0.069598443
2016-10-11 22:00:00+00:00,2233694,15.95,16.2,-0.046053521
2016-10-12 22:00:00+00:00,1496830,16.13,15.93,-0.022395896
2016-10-13 22:00:00+00:00,2182713,15.94,16,-0.075202108
2016-10-14 22:00:00+00:00,1791326,15.73,15.98,-0.052663812
2016-10-17 22:00:00+00:00,3447053,15.6,15.63,-0.083867164
2016-10-18 22:00:00+00:00,2532695,15.39,15.7,-0.07855065
2016-10-19 22:00:00+00:00,1910254,15.45,15.47,-0.065123586
2016-10-20 22:00:00+00:00,1856441,15.74,15.59,-0.055131016
2016-10-21 22:00:00+00:00,2357890,15.75,15.53,-0.056387067
2016-10-24 22:00:00+00:00,2184899,15.52,15.82,-0.032837906
2016-10-25 22:00:00+00:00,1787524,15.29,15.3,-0.0620103
2016-10-26 22:00:00+00:00,1484061,15.4,15.21,-0.002011879
2016-10-27 22:00:00+00:00,1661035,15.08,15.38,0.022806043
2016-10-28 22:00:00+00:00,2629149,14.86,14.92,0.04074263
2016-10-31 22:00:00+00:00,2539552,14.61,14.86,0.04967465
2016-11-01 22:00:00+00:00,2244788,14.48,14.52,-0.0066573
2016-11-02 22:00:00+00:00,2175535,14.58,14.47,-0.009851151
2016-11-03 22:00:00+00:00,1406221,14.49,14.65,-0.101073411
2016-11-04 22:00:00+00:00,2291339,14.53,14.59,-0.123701331
2016-11-07 22:00:00+00:00,1606774,14.79,14.75,-0.061707237
2016-11-08 22:00:00+00:00,1748820,14.62,14.73,-0.004869906
2016-11-09 22:00:00+00:00,4104873,15.05,14.27,-0.031312748
2016-11-10 22:00:00+00:00,5586997,15.69,15.43,-0.069950667
2016-11-11 22:00:00+00:00,4255934,16.28,15.59,-0.103981942
2016-11-14 22:00:00+00:00,4744654,16.69,16.04,-0.102321515
2016-11-15 22:00:00+00:00,3059348,15.99,16.07,-0.111944166
2016-11-16 22:00:00+00:00,1777095,16.29,15.92,-0.132277012
2016-11-17 22:00:00+00:00,4090401,16.93,16.39,-0.050894629
2016-11-18 22:00:00+00:00,17959856,14.6,15.05,0.044877433
2016-11-21 22:00:00+00:00,7461869,14.76,14.26,0.036602767
2016-11-22 22:00:00+00:00,5224111,15.49,14.87,0.021850412
2016-11-23 22:00:00+00:00,3329646,15.39,15.16,0.004604464
2016-11-25 22:00:00+00:00,1206373,15.24,15.53,-0.010221055
2016-11-28 22:00:00+00:00,2818059,14.78,15.2,-0.042760703
2016-11-29 22:00:00+00:00,4792009,15.09,14.88,-0.072399503
2016-11-30 22:00:00+00:00,3542607,14.37,14.74,-0.073601532
2016-12-01 22:00:00+00:00,3027067,14.26,14.25,-0.108670345
2016-12-02 22:00:00+00:00,3102129,14.2,14.21,-0.089249823
2016-12-05 22:00:00+00:00,3152406,14.89,14.28,-0.13279054
2016-12-06 22:00:00+00:00,2906804,15.27,14.98,-0.147269247
2016-12-07 22:00:00+00:00,2926358,15.76,15.33,-0.19796823
2016-12-08 22:00:00+00:00,3841089,16.24,15.88,-0.2535304
2016-12-09 22:00:00+00:00,2345594,15.79,15.95,-0.226949326
2016-12-12 22:00:00+00:00,3718626,14.73,15.46,-0.193597838
2016-12-13 22:00:00+00:00,3294587,14.44,14.86,-0.142264953
2016-12-14 22:00:00+00:00,5006367,13.85,14.51,-0.132332459
2016-12-15 22:00:00+00:00,3618636,13.37,13.93,-0.109874746
2016-12-16 22:00:00+00:00,4523706,13.31,13.42,-0.079791664
2016-12-19 22:00:00+00:00,3374223,13.06,13.34,-0.048797099
2016-12-20 22:00:00+00:00,2853931,13.13,13.11,-0.061146128
2016-12-21 22:00:00+00:00,2232639,12.84,13.09,-0.101260815
2016-12-22 22:00:00+00:00,5057224,12.03,12.85,-0.023571267
2016-12-23 22:00:00+00:00,3000864,11.94,12.03,-0.016469386
2016-12-27 22:00:00+00:00,2694707,12,12.09,-0.007272941
2016-12-28 22:00:00+00:00,2111885,12.01,12.13,-0.02321598
2016-12-29 22:00:00+00:00,2198695,12.03,12.03,-0.012669891
2016-12-30 22:00:00+00:00,1963621,12,12.04,0.035428641
