time,assetName,volume,close,open,returnsOpenNextMktres10,urgency,takeSequence,bodySize,companyCount,volumeCounts7D
2016-05-19,Abercrombie & Fitch Co,3872054,23.88,23.53,-0.13252309,0,0,0,0,0
2016-05-20,Abercrombie & Fitch Co,3097705,24.42,23.64,-0.165109462,3,1,3836,7,13
2016-05-23,Abercrombie & Fitch Co,2613622,24.66,24.48,-0.149454069,17,18,7342,14,151
2016-05-24,Abercrombie & Fitch Co,2788182,24.84,24.93,-0.164888074,0,0,0,0,0
2016-05-25,Abercrombie & Fitch Co,5398318,25.08,24.4,-0.147908217,0,0,0,0,0
2016-05-26,Abercrombie & Fitch Co,19976789,21.15,22.4,-0.098447592,84,160,100270,228,1256
2016-05-27,Abercrombie & Fitch Co,6396171,20.19,20.8,-0.091321043,25,9,90262,285,565
2016-05-31,Abercrombie & Fitch Co,5773833,19.89,20.19,-0.072298113,3,1,1183,4,60
2016-06-01,Abercrombie & Fitch Co,3906346,19.52,19.72,-0.071961487,0,0,0,0,0
2016-06-02,Abercrombie & Fitch Co,4329816,19.5,19.47,-0.0955315,24,8,93610,311,392
2016-06-03,Abercrombie & Fitch Co,3781864,19.42,19.53,-0.069698273,0,0,0,0,0
2016-06-06,Abercrombie & Fitch Co,4216302,19.03,19.47,-0.04651782,18,6,56127,198,92
2016-06-07,Abercrombie & Fitch Co,3403738,19.19,18.92,-0.055267225,0,0,0,0,0
2016-06-08,Abercrombie & Fitch Co,2661738,19.02,19.26,-0.039472229,0,0,0,0,0
2016-06-09,Abercrombie & Fitch Co,2685038,18.64,18.98,0.000317661,0,0,0,0,0
2016-06-10,Abercrombie & Fitch Co,4878577,18.75,18.34,-0.164531487,6,2,3879,2,15
2016-06-13,Abercrombie & Fitch Co,4606249,18.92,18.51,-0.199936772,3,1,4359,14,9
2016-06-14,Abercrombie & Fitch Co,3219377,18.62,18.92,-0.143151473,0,0,0,0,0
2016-06-15,Abercrombie & Fitch Co,4443133,19.14,18.86,-0.076942726,21,7,57721,247,49
2016-06-16,Abercrombie & Fitch Co,4597988,18.65,19.2,-0.012084625,0,0,0,0,0
2016-06-17,Abercrombie & Fitch Co,4124606,18.98,18.65,-0.04749116,0,0,0,0,0
2016-06-20,Abercrombie & Fitch Co,3160955,18.84,19.1,-0.077957536,0,0,0,0,0
2016-06-21,Abercrombie & Fitch Co,2898156,19.01,19,-0.039559472,0,0,0,0,0
2016-06-22,Abercrombie & Fitch Co,3336798,19,19.09,-0.022227406,0,0,0,0,0
2016-06-23,Abercrombie & Fitch Co,3327180,19.33,19.1,0.033328055,3,1,201,6,0
2016-06-24,Abercrombie & Fitch Co,6070826,17.77,18.56,0.022004821,0,0,0,0,0
2016-06-27,Abercrombie & Fitch Co,4677120,16.8,17.5,0.002787983,3,1,7374,4,1
2016-06-28,Abercrombie & Fitch Co,3022151,16.95,17.18,0.013816693,0,0,0,0,0
2016-06-29,Abercrombie & Fitch Co,2184981,17.48,17.15,0.0092612,0,0,0,0,0
2016-06-30,Abercrombie & Fitch Co,2304364,17.81,17.53,0.015089128,7,29,201,46,19
2016-07-01,Abercrombie & Fitch Co,1639489,18.15,17.85,0.051391228,0,0,0,0,0
2016-07-05,Abercrombie & Fitch Co,1688184,17.58,17.65,0.034792614,18,6,67048,225,51
2016-07-06,Abercrombie & Fitch Co,2440113,18.09,17.54,0.01397215,0,0,0,0,0
2016-07-07,Abercrombie & Fitch Co,2224842,18.22,18.08,0.014756719,0,0,0,0,0
2016-07-08,Abercrombie & Fitch Co,3252727,19.09,18.45,0.000444848,18,6,65539,215,63
2016-07-11,Abercrombie & Fitch Co,1453779,19.13,19.13,0.018788,0,0,0,0,0
2016-07-12,Abercrombie & Fitch Co,1646193,19.46,19.23,0.047472353,0,0,0,0,0
2016-07-13,Abercrombie & Fitch Co,1153277,19.16,19.52,0.06032093,0,0,0,0,0
2016-07-14,Abercrombie & Fitch Co,1421268,19.21,19.3,0.055542265,0,0,0,0,0
2016-07-15,Abercrombie & Fitch Co,1089505,19.18,19.29,0.065315908,3,1,201,2,1
2016-07-18,Abercrombie & Fitch Co,3058046,19.81,19.27,0.033096654,3,1,902,1,1
2016-07-19,Abercrombie & Fitch Co,1339259,19.74,19.87,-0.005303845,0,0,0,0,0
2016-07-20,Abercrombie & Fitch Co,1268470,19.96,19.8,0.019978773,0,0,0,0,0
2016-07-21,Abercrombie & Fitch Co,2089485,20.27,19.91,0.016596409,0,0,0,0,0
2016-07-22,Abercrombie & Fitch Co,1669553,20.12,20.09,0.035346029,0,0,0,0,0
2016-07-25,Abercrombie & Fitch Co,1702685,20.23,20.17,0.026788842,0,0,0,0,0
2016-07-26,Abercrombie & Fitch Co,2154168,20.8,20.33,-0.019035152,0,0,0,0,0
2016-07-27,Abercrombie & Fitch Co,2213969,20.69,20.87,0.028793188,0,0,0,0,0
2016-07-28,Abercrombie & Fitch Co,924297,20.45,20.68,0.035278402,4,2,201,2,0
2016-07-29,Abercrombie & Fitch Co,1358404,20.71,20.45,0.045968477,0,0,0,0,0
2016-08-01,Abercrombie & Fitch Co,1446546,20.71,20.76,0.066795682,0,0,0,0,0
2016-08-02,Abercrombie & Fitch Co,1507725,19.82,20.65,0.104544038,0,0,0,0,0
2016-08-03,Abercrombie & Fitch Co,1686873,20.11,19.52,0.081269242,0,0,0,0,0
2016-08-04,Abercrombie & Fitch Co,951233,20.25,20.15,0.072603036,3,1,8822,4,2
2016-08-05,Abercrombie & Fitch Co,1731486,21.22,20.46,0.072314666,3,1,3246,1,1
2016-08-08,Abercrombie & Fitch Co,1500358,21.34,21.03,0.049882282,0,0,0,0,0
2016-08-09,Abercrombie & Fitch Co,1812511,20.69,21.07,0.07716868,0,0,0,0,0
2016-08-10,Abercrombie & Fitch Co,1153477,20.71,20.69,0.046284388,0,0,0,0,0
2016-08-11,Abercrombie & Fitch Co,1845807,21.49,21.5,0.075070729,0,0,0,0,0
2016-08-12,Abercrombie & Fitch Co,2335077,21.9,21.47,0.056413447,0,0,0,0,0
2016-08-15,Abercrombie & Fitch Co,1406867,22.48,22,-0.112343919,27,9,111640,320,45
2016-08-16,Abercrombie & Fitch Co,2012863,22.1,22.4,-0.153630343,0,0,0,0,0
2016-08-17,Abercrombie & Fitch Co,1731693,21.91,21.99,-0.149248166,0,0,0,0,0
2016-08-18,Abercrombie & Fitch Co,1564284,22.41,22.16,-0.178490571,3,1,1647,1,10
2016-08-19,Abercrombie & Fitch Co,1764238,22.55,22.31,-0.235028224,0,0,0,0,0
2016-08-22,Abercrombie & Fitch Co,1526357,22.18,22.49,-0.203843856,0,0,0,0,0
2016-08-23,Abercrombie & Fitch Co,1714149,22.72,22.36,-0.200763931,0,0,0,0,0
2016-08-24,Abercrombie & Fitch Co,2019608,22.3,22.4,-0.18761785,8,5,3518,4,10
2016-08-25,Abercrombie & Fitch Co,1437255,22.63,22.26,0.047893448,0,0,0,0,0
2016-08-26,Abercrombie & Fitch Co,2961983,22.62,22.72,-0.114598427,3,1,1998,3,4
2016-08-29,Abercrombie & Fitch Co,5062593,22.95,22.62,0.10336989,6,2,4060,2,11
2016-08-30,Abercrombie & Fitch Co,23020210,18.29,19.5,0.09075176,95,151,109502,230,1346
2016-08-31,Abercrombie & Fitch Co,7222775,17.74,18.11,0.032141128,24,8,65179,272,540
2016-09-01,Abercrombie & Fitch Co,3675694,17.32,17.66,0.044843003,15,5,53735,196,375
2016-09-02,Abercrombie & Fitch Co,3528317,17.02,17.32,0.021465882,0,0,0,0,0
2016-09-06,Abercrombie & Fitch Co,4018084,16.94,17.02,-0.041063285,1,1,0,1,39
2016-09-07,Abercrombie & Fitch Co,3378252,17.28,17.24,-0.039323238,0,0,0,0,0
2016-09-08,Abercrombie & Fitch Co,3330765,17.26,17.36,-0.012123431,0,0,0,0,0
2016-09-09,Abercrombie & Fitch Co,3586801,17.25,17.2,-0.011692613,0,0,0,0,0
2016-09-12,Abercrombie & Fitch Co,3213160,17.59,17.31,-0.077886179,0,0,0,0,0
2016-09-13,Abercrombie & Fitch Co,2629597,17.44,17.46,-0.067556555,0,0,0,0,0
2016-09-14,Abercrombie & Fitch Co,3652064,17.42,17.54,-0.08068114,0,0,0,0,0
2016-09-15,Abercrombie & Fitch Co,2112613,17.62,17.42,-0.093703347,0,0,0,0,0
2016-09-16,Abercrombie & Fitch Co,2259013,17.42,17.35,-0.085611951,0,0,0,0,0
2016-09-19,Abercrombie & Fitch Co,2505620,17.33,17.46,-0.088062187,0,0,0,0,0
2016-09-20,Abercrombie & Fitch Co,2821601,16.85,17.34,-0.054414899,0,0,0,0,0
2016-09-21,Abercrombie & Fitch Co,3279645,16.76,16.86,-0.042059863,0,0,0,0,0
2016-09-22,Abercrombie & Fitch Co,3218054,16.84,16.88,-0.041470418,0,0,0,0,0
2016-09-23,Abercrombie & Fitch Co,2355780,16.72,16.9,-0.026518374,3,1,8375,11,0
2016-09-26,Abercrombie & Fitch Co,3023410,16.14,16.65,0.008299882,0,0,0,0,0
2016-09-27,Abercrombie & Fitch Co,2946510,16.24,16.16,-0.022294933,0,0,0,0,0
2016-09-28,Abercrombie & Fitch Co,3476752,15.9,16.06,-0.021124976,0,0,0,0,0
2016-09-29,Abercrombie & Fitch Co,2638059,15.54,15.78,0.000614731,0,0,0,0,0
2016-09-30,Abercrombie & Fitch Co,2340565,15.89,15.68,-0.050274002,0,0,0,0,0
2016-10-03,Abercrombie & Fitch Co,13191538,15.72,15.89,-0.030586824,0,0,0,0,0
2016-10-04,Abercrombie & Fitch Co,2380716,15.91,15.76,-0.043350187,0,0,0,0,0
2016-10-05,Abercrombie & Fitch Co,2695028,16.28,15.93,-0.053318993,3,1,18164,38,1
2016-10-06,Abercrombie & Fitch Co,3197204,15.97,16.18,-0.066380167,0,0,0,0,0
2016-10-07,Abercrombie & Fitch Co,3688804,16.12,16.2,-0.036330336,3,1,2644,6,2
2016-10-10,Abercrombie & Fitch Co,2232438,16.19,16.21,-0.069598443,0,0,0,0,0
2016-10-11,Abercrombie & Fitch Co,2233694,15.95,16.2,-0.046053521,0,0,0,0,0
2016-10-12,Abercrombie & Fitch Co,1496830,16.13,15.93,-0.022395896,0,0,0,0,0
2016-10-13,Abercrombie & Fitch Co,2182713,15.94,16,-0.075202108,3,1,4936,1,1
2016-10-14,Abercrombie & Fitch Co,1791326,15.73,15.98,-0.052663812,0,0,0,0,0
2016-10-17,Abercrombie & Fitch Co,3447053,15.6,15.63,-0.083867164,1,1,0,1,1
2016-10-18,Abercrombie & Fitch Co,2532695,15.39,15.7,-0.07855065,12,4,69927,158,18
2016-10-19,Abercrombie & Fitch Co,1910254,15.45,15.47,-0.065123586,0,0,0,0,0
2016-10-20,Abercrombie & Fitch Co,1856441,15.74,15.59,-0.055131016,6,2,12806,10,13
2016-10-21,Abercrombie & Fitch Co,2357890,15.75,15.53,-0.056387067,3,1,8551,9,8
2016-10-24,Abercrombie & Fitch Co,2184899,15.52,15.82,-0.032837906,0,0,0,0,0
2016-10-25,Abercrombie & Fitch Co,1787524,15.29,15.3,-0.0620103,0,0,0,0,0
2016-10-26,Abercrombie & Fitch Co,1484061,15.4,15.21,-0.002011879,0,0,0,0,0
2016-10-27,Abercrombie & Fitch Co,1661035,15.08,15.38,0.022806043,0,0,0,0,0
2016-10-28,Abercrombie & Fitch Co,2629149,14.86,14.92,0.04074263,0,0,0,0,0
2016-10-31,Abercrombie & Fitch Co,2539552,14.61,14.86,0.04967465,19,7,143303,220,27
2016-11-01,Abercrombie & Fitch Co,2244788,14.48,14.52,-0.0066573,3,1,3723,1,8
2016-11-02,Abercrombie & Fitch Co,2175535,14.58,14.47,-0.009851151,0,0,0,0,0
2016-11-03,Abercrombie & Fitch Co,1406221,14.49,14.65,-0.101073411,4,2,2772,2,18
2016-11-04,Abercrombie & Fitch Co,2291339,14.53,14.59,-0.123701331,3,1,3231,1,11
2016-11-07,Abercrombie & Fitch Co,1606774,14.79,14.75,-0.061707237,0,0,0,0,0
2016-11-08,Abercrombie & Fitch Co,1748820,14.62,14.73,-0.004869906,0,0,0,0,0
2016-11-09,Abercrombie & Fitch Co,4104873,15.05,14.27,-0.031312748,0,0,0,0,0
2016-11-10,Abercrombie & Fitch Co,5586997,15.69,15.43,-0.069950667,0,0,0,0,0
2016-11-11,Abercrombie & Fitch Co,4255934,16.28,15.59,-0.103981942,0,0,0,0,0
2016-11-14,Abercrombie & Fitch Co,4744654,16.69,16.04,-0.102321515,4,2,23250,44,2
2016-11-15,Abercrombie & Fitch Co,3059348,15.99,16.07,-0.111944166,14,7,100033,136,39
2016-11-16,Abercrombie & Fitch Co,1777095,16.29,15.92,-0.132277012,0,0,0,0,0
2016-11-17,Abercrombie & Fitch Co,4090401,16.93,16.39,-0.050894629,7,3,2509,3,33
2016-11-18,Abercrombie & Fitch Co,17959856,14.6,15.05,0.044877433,59,154,73009,173,971
2016-11-21,Abercrombie & Fitch Co,7461869,14.76,14.26,0.036602767,13,5,46995,144,300
2016-11-22,Abercrombie & Fitch Co,5224111,15.49,14.87,0.021850412,0,0,0,0,0
2016-11-23,Abercrombie & Fitch Co,3329646,15.39,15.16,0.004604464,13,5,55576,153,305
2016-11-25,Abercrombie & Fitch Co,1206373,15.24,15.53,-0.010221055,18,6,20344,62,191
2016-11-28,Abercrombie & Fitch Co,2818059,14.78,15.2,-0.042760703,0,0,0,0,0
2016-11-29,Abercrombie & Fitch Co,4792009,15.09,14.88,-0.072399503,3,1,3483,1,14
2016-11-30,Abercrombie & Fitch Co,3542607,14.37,14.74,-0.073601532,6,2,2351,7,18
2016-12-01,Abercrombie & Fitch Co,3027067,14.26,14.25,-0.108670345,0,0,0,0,0
2016-12-02,Abercrombie & Fitch Co,3102129,14.2,14.21,-0.089249823,0,0,0,0,0
2016-12-05,Abercrombie & Fitch Co,3152406,14.89,14.28,-0.13279054,0,0,0,0,0
2016-12-06,Abercrombie & Fitch Co,2906804,15.27,14.98,-0.147269247,0,0,0,0,0
2016-12-07,Abercrombie & Fitch Co,2926358,15.76,15.33,-0.19796823,0,0,0,0,0
2016-12-08,Abercrombie & Fitch Co,3841089,16.24,15.88,-0.2535304,3,1,4300,1,0
2016-12-09,Abercrombie & Fitch Co,2345594,15.79,15.95,-0.226949326,0,0,0,0,0
2016-12-12,Abercrombie & Fitch Co,3718626,14.73,15.46,-0.193597838,0,0,0,0,0
2016-12-13,Abercrombie & Fitch Co,3294587,14.44,14.86,-0.142264953,0,0,0,0,0
2016-12-14,Abercrombie & Fitch Co,5006367,13.85,14.51,-0.132332459,9,3,8262,15,6
2016-12-15,Abercrombie & Fitch Co,3618636,13.37,13.93,-0.109874746,0,0,0,0,0
2016-12-16,Abercrombie & Fitch Co,4523706,13.31,13.42,-0.079791664,0,0,0,0,0
2016-12-19,Abercrombie & Fitch Co,3374223,13.06,13.34,-0.048797099,0,0,0,0,0
2016-12-20,Abercrombie & Fitch Co,2853931,13.13,13.11,-0.061146128,0,0,0,0,0
2016-12-21,Abercrombie & Fitch Co,2232639,12.84,13.09,-0.101260815,0,0,0,0,0
2016-12-22,Abercrombie & Fitch Co,5057224,12.03,12.85,-0.023571267,1,1,0,5,0
2016-12-23,Abercrombie & Fitch Co,3000864,11.94,12.03,-0.016469386,0,0,0,0,0
2016-12-27,Abercrombie & Fitch Co,2694707,12,12.09,-0.007272941,0,0,0,0,0
2016-12-28,Abercrombie & Fitch Co,2111885,12.01,12.13,-0.02321598,0,0,0,0,0
2016-12-29,Abercrombie & Fitch Co,2198695,12.03,12.03,-0.012669891,0,0,0,0,0
2016-12-30,Abercrombie & Fitch Co,1963621,12,12.04,0.035428641,0,0,0,0,0
